campsites,year
"BC(05/04),ABC(14/04,6400m),C1(27/04,7050m),C2(31/05,7500m),C3(01/06,7900m),C4(02/06,8300m),Smt(03-04/06)",2005
"BC(14/04,5200m),ABC(19/04,6370m),C1(23/04,7100m),C2(18/05,7600m),C3(01/06,8300m),Smt(02/06)",2005
"BC(04/04),ABC(09/04,6400m),C1(25/04,7000m),C2(27/04,7500m),C3(02/06,7800m),C4(03/06,8200m),Smt(04-05/06)",2005
"BC(10/04),ABC918/04,6400m),C1(22/04,7400m),C2(19/05,7800m),C3(20/05,8300m),Smt(21/05)",2005
"BC(5200m),IC(5800m),ABC(6500m),C1(7028m),C3(7790m),C3(8300m),Smt(22/05)",2005
"BC(10/04,5200m),ABC(19/04,6400m),C1(26/04,7040m),C2(05/05,7680m),C3(29/05,8210m),Smt(30/05,04/06)",2005
"BC(12/04,5200m),ABC(17/04,6450m),C1(24/04,7100m),C2(25/04,7500m),C3(02/06,7800m),C4(03/06,8300m),Smt(04/06)",2005
"BC(07/04,5200m),ABC(13/04,6400m),C1(19/04,7050m),C2(20/05,7700m),C3(21/05,8300m),Smt(30/05)",2005
"BC(09/05,5200m),ABC(10/05,6370m),C1(19/05,7045m),C2(30/05,7600m),C3(31/05,7850m),Smt(01/06)",2005
"BC(22/05,5200m),ABC(23/05,6300m),C1(29/05,7050m),C2(30/05,7600m),C3(04/06,8300m),Smt(05/06)",2005
"BC(22/04,5170m),ABC(27/04,6370m),C1(02/05,7000m),C2(02/06,7670m),C3(03/05,8200m),Smt(04-05/06)",2005
"BC(03/04,5200m),ABC(08/04,6400m),C1(19/04,7100m),C2(14/05,7700m),C3(28/05,8300m),Smt(29/05)",2005
"BC(04/04,5200m),ABC(12/04,6450m),C2(19/05,7700m),C3(20/05,8300m),Smt(21/05)",2005
"BC(26-27/03,5200m),ABC(14/04,6500m),C1(26/04,7020m),C2(27/04,7900m),C3(21/05,8300m),Smt(22/05)",2005
"BC(10/04,5200m),ABC(17/04,6400m),C1(21/04,7032m),C2(15/05,7800m),C3(16/05,8223m),Smt(17/05)",2006
"BC(10/04,5200m),ABC(15/04,6400m),C1(27/04,7000m),C2(15/05,7500m),C3(16/05,8000m),Smt(17/05)",2006
"BC(25/04),ABC(01/05,7100m),C1(14/05,7100m),C2(15/05,7660m),C3(16/05,8250m),Smt(17/05)",2006
"BC(05/04,5200m),ABC(6400m),C1(25/04,7100m),C2(13/05,7600m),C3(14/05,8200m),Smt(15/05)",2006
"BC(21/04,5200m),ABC(05/04,6500m),C1(28/04,7050m),C2(13/05,7800m),C3(14/05,8300m),Smt(15/05)",2006
"BC(05/04,5400m),ABC(13/04,6400m),C1(19/04,7000m),C2(01/05,7600m),C3(16/05,8300m),Smt(17/05)",2006
"SherpasBC(23/03,5141m),MbrsBC(05/04,5141m),ABC(13/04,6376m),C1(27/04,7024m),C2(10/05,7511m),C3(11/05,7806m),C4(13/05,8250m),Smt(30/04,14-15/05)",2006
"BC(05/04,5200m),ABC(14/04,6400m),C1(21/04,7000m),C2(10/05,7800m),C3(12/05,8100m),Smt(13/05)",2006
"BC(05/04,5200m),ABC(14/04,6400m),C1(19/04,7100m),C2(11/05,7700m),C3(17/05,8300m),Smt(18/05)",2006
"BC(03/04,5300m),ABC(6400m),C1(11/05,7028m),C2(13/05,8300m),Smt(14/05)",2006
"BC(28/04,5200m),ABC(01/05,6400m),C1(08/05,7100m),C2(23/05,7700m),C3(24/05,8300m),Smt(25/05)",2006
"BC(09/04,5200m),ABC(16/04,6400m),C1(7010m),C2(7500m),C3(15/05,8100m),Smt(16/05)",2006
"BC(17/04,5300m),ABC(22/04,6400m),C2(16/05,7600m),C3(17/05,8300m),Smt(18/05)",2006
"BC(08/04),ABC(12/04,6400m),C1(24/04,7050m),C2(26/04,7700m),xxx(18/05,8100m) 2nd Summit bid: C1(20/05,7050m),C2(23/05,7700m),C3(24/05,8300m),Smt(18/05)",2006
"BC(05/04),ABC(15/04,6400m),C1(15/04,7000m),C2(08/05,7700m?),C3(10/05,8300m),Smt(11/05)",2006
"BC(06/04,5200m),ABC(12/04,6400m),C1(24/04,7000m),C2(15/04,7900m),C3(16/04,8300m),Smt(17/05)",2006
"BC(04/04,5300m),ABC(09/05,6500m),C1(11/05,7000m),C2(15/05,7880m),Smt(25/05)",2006
"BC(27/04,5200m),ABC(30/04,6400m),C1(07/05,7000m),C2(16/05,8000m),Smt(26/05)",2006
"BC(10/04,5200m),ABC(22/04,6400m),C1(24/04,7100m),C2(15/04,7500m),C3(17/05,7900m),Smt(18/05)",2006
"BC(12/04),C1(22/04,7100m),C2(01/05,7500m),C3(16/05,8300m),Smt(17/05)",2006
"BC(10/04,5200m),ABC(22/04,6400m),C1(03/05,7000m),C2(15/05,7600m),C3(16/05,8300m),Smt(17/05)",2006
"BC(10/04,5200m),ABC(17/04,6400m),C1(21/04,7000m),C2(05/05,7500m),C3(15/05,7900m),Smt(17/05)",2006
"BC(10/04,5200m),ABC(17/04,6400m),C1(27/04,7000m),C2(15/05,7500m),C3(16/05,8000m),Smt(17-18,21/05)",2006
"BC(05/04,6400m),ABC(12/04,6400m),C1(21/04,7000m),C2(16/05,7800m),C3(17/05,8000m),Smt(17,22/05)",2006
"BC(01/05,5200m),ABC(03/05,6400m),C1(08/05,7100m),C2(15/05,7900m),C3(16/05,8300m),Smt(17/05)",2006
"BC(26/04,5400m),ABC(30/04,6400m),C1(02/05,7000m),C2(16/05,7800m),C3(17/05,8350m),Smt(18/05)",2006
"BC(08/04,5150m),ABC(22/04,6400m),C1(26/04,7050m),C2(06/05,7700m),C3(15/05,8300m),Smt(16/05)",2006
"BC(08/05,5300m),ABC(11/05,6300m),C2(15/05,7700m),C3(16/05,8300m),Smt(17/05)",2006
"BC(18/04,5200m),ABC(25/04,6440m),C1(03/05,7030m),C2(16/05,7500m),C3(17/05,8300m),Smt(18/05)",2006
"BC(05/04,5200m),ABC(13/04,6400m),C1(26/04,7000m),C2(02/05,7700m),C3(15/05,8300m),Smt(16/03)",2006
"BC(10/04,5200m),C1(17/04,6400m),C1(28/04,7000m),C2(30/04,7500m),C3(17/05,8300m),Smt(18/05)",2006
"BC(16/04,5000m),ABC(24/04,6400m),C1(01/05,7000m),C2(05/05,7700m),C3(17/05,8300m),Smt(18/05)",2006
"BC(29/04,5200m),ABC(01/05,6300m),C1(07/05,7000m),C2(16/05,7900m),Smt(17/05)",2006
"BC(09/04,5105),ABC(16/04,63340m),C1(30/04,7000m),C2(06/05,7580m),C3(16/05,8300m),Smt(17/05)",2006
"BC(12/04,5200m),ABC(17/04,6400m),C1(10/05,7100m),C2(16/05,7900m),C3(16/05,8300m),Smt(17/05)",2006
"BC(06/04,5200m),ABC(16/04,6400m),C1(22/04,7100m),C2(13/04,7800m),C3(14/05,8300m),Smt(15,24/05)",2006
"BC(05/04,5200m),ABC(19/04,6400m),C1(25/04,7100m),C3(13/05,8300m),Smt(14,17/05)",2006
"BC(17/04,5200m),ABC(22/04,6400m),C1(23/04,7000m),C2(10/05,7700m),C3(12/05,8300m),Smt(23/05)",2006
"BC(19/04,5200m),ABC(24/04,6400m),C1(29/04,7000m),C2(04/05,7700m),C3(20/05,8300m),Smt(21,23/05)",2006
"SherpasBC(29/03),MbrsBC(18/04),ABC(24/04,6400m),C1(07/05,7000m),C2(13/05,7800m),C3(14/05,8300m),Smt(15,21,25/05)",2006
"BC(07/04,5150m),ABC(10/04,6400m),C1(16/04,7100m),C2(14/05,7700m),C3(15/05,8300m),Smt(16/05)",2006
"BC(10/04),ABC(16/04,6400m),C1(21/04,7000m),C2(27/04,7500m),C3(17/05,8300m),Smt(18/05)",2006
"BC(09/04,5200m),ABC(16/04,6400m),C1(03/05,7100m),C2(12/05,7700m),C3(13/05,8300m),Smt(15/05)",2006
"BC(07/04,5150m),ABC(10/04,6400m),C1(16/04,7100m),C2(25/04,7800m),C3(15/05,8300m),Smt(16/05)",2006
"BC(03/04,5200m),ABC(08/04,6400m),C1(11/04,7100m),C2(20/04,7600m),C3(15/05,8300m),Smt(16-17/05)",2006
"BC(07/04,5150m),ABC(10/04,6400m),C1(16/04,7100m),C2(14/05,7700m),C3(15/05,8300m),Smt(16/05)",2006
"BC(19/04,5200m),IC(23/04,5300m),ABC(24/04,6400m),C1(11/05,7000m),C2(13/05,7900m),C3(14/05,8300m),Smt(15/05)",2006
"BC(11/04),ABC(15/04,6400m),C1(18/04,7100m),C2(19/04,7500m),Smt(30/04)",2007
"BC(23/04,5200m),ABC(26/04,6400m),C1(7050m),C2(13/05,7800m),C3(14/05,8300m),Smt(15/05)",2007
"BC(14/04),ABC(02/04,6400m),C1(12/05,7000m),C2(13/05,7600m),C3(14/05,8200m),Smt(15/05)",2007
"BC(23/04,5180m),ABC(29/04,6350m),C1(02/05,7000m),C2(13/05,7700m),C3(14/05,8300m),Smt(15/05)",2007
"BC(12/04),ABC(19/04,6450m),C1(28/04,7050m),C2(14,24/05,7700m),C3(15,22/05,8300m),Smt(16,23/05)",2007
"BC(09/04),ABC(14/04,6441m),C1(24/04,7150m),C2(14/05,7800m),C3(15/05,8300m),Smt(16/05)",2007
"BC(20/04),ABC(29/04,6350m),C1(06/05,7050m),C2(13/05,7800m),C3(14/05,6300m),Smt(15/05)",2007
"BC(21/04),ABC(25/04,6350m),Biv(30/04,7050m),Biv(14/05,7600m),Biv(15/05,8100m),Smt(17/05)",2007
"BC(21/04,5200m),ABC(25/04,6900m),C1(01/05,7000m),C2(16/05,7500m),C3(17/05,8000m),Smt(18/05)",2007
"BC(11/04,5200m),ABC(15/04,6400m),C1(26/04,7000m),C2(14/05,7900m),C3(15/05,8300m),Smt(16/05)",2007
"BC(03/04,5200m),ABC(08/04,6400m),C1(24/04,7000m),C2(13/05,7700m),C3(14/05,8300m),Smt(15/05)",2007
"BC(03/05,5200m),ABC(05/05,6400m),C1(12/05,7000m),C2(19/05,7700m),C3(20/05,8300m),Smt(21/05)",2007
"BC(09/04,5200m),ABC(17/04,6400m),C1(30/04,7000m),C2(14/05,7700m),C3(15/05,8300m),Smt(16/05)",2007
"BC(20/04,5200m),ABC(27/04,6400m),C1(02/05,7000m),C2(21/05,7600m),C3(22/05,8300m),Smt(23-24/05)",2007
"BC(10/04,5170m),ABC(20/04,6450m),C1(28/04,7040m),C2(16/05,7700m),C3(17/05,8200m),Smt(18-19/05)",2007
"BC(23/04),ABC(11/05,6450m),C1(10/05,7050m),C2(21/05,7650m),C3(22/05,8200m),Smt(23/05,05/06)",2007
"BC(16/04),ABC(23/04,6400m),C1(05/05,7060m),C2(18/05,7750m),C3(19/05,8200m),Smt(21/05)",2007
"BC(30/03),ABC(05/04,6400m),C1(09/04,7200m),C2(21/04,7850m),C3(10/05,8300m),Smt(15-16,21,23/05)",2007
"BC(15/04),ABC(24/04,6400m),C1(27/04,7050m),C2(05/05,7700m),C3(18/05,8300m),Smt(19-20/05)",2007
"BC(11/04,5200m),ABC(17/04,6400m),C1(20/04,7000m),C2(08/05,7600m),C3(14/05,8300m),Smt(15-16,18/05)",2007
"BC(03/05,5200m),ABC(09/05,6400m),C1(15/05,7000m),C2(21/05,7800m),C3(04/06,8300m),Smt(05/06)",2007
"BC(12/04),ABC(19/04,6400m),C1(24/04,7000m),C2(28/04,7500m),C3(14/05,7800m),C4(15/05,8300m),Smt(16/05)",2007
"BC(19/04,5200m),ABC(24/04,6400m),C1(27/04,7050m),C2(30/04,7700m),C3(03/05,8200m),Smt(16/05)",2007
"BC(18/04,5300m),ABC(23/04,6500m),C1(26/04,7000m),C2(06/05,7500m),C3(15/05,8300m),Smt(16/05)",2007
"BC(20/04,5200m),ABC(24/04,6400m),C1(01/05,7000m),C2(14/05,7700m),C3(15/05,8300m),Smt(16/05)",2007
"BC(23/04,5150m),ABC(28/04,6400m),C1(02/05,7000m),C2(22/05,7650m),C3(23/05,8210m),Smt(24/05,05/06)",2007
"BC(12/04,5200m),ABC(18/04,6400m),C1(22/04,7100m),C2(14/05,7700m),C3(15/05,8300m),Smt(16/05)",2007
"BC(07/04,5182m),ABC(14/04,6400m),C1(23/04,7010m),C2(13/05,7600m),C3(14/05,8000m),Smt(15/05)",2007
"BC(21/04,5200m),ABC(25/04,6300m),C1(01/05,7000m),C2(16/05,7500m),C3(17/05,8050m),Smt(18/05)",2007
"BC(08/04,5200m),ABC(15/04,6400m),C1(03/05,7150m),C2(18/05,7800m),C3(19/05,8300m),Smt(20/05)",2007
"BC(20/04,5200m),ABC(24/04,6400m),C1(29/04,7000m),C2(16/05,7500m),C3(21/05,8300m),Smt(22/05)",2007
"BC(20/04,5200m),ABC(24/04,6400m),C1(14/05,7000m),C2(15/05,7900m),C3(16/05,8300m),Smt(17/05)",2007
"BC(27/04,5178m),ABC(03/05,6460m),C1(12/05,7066m),C2(13/05,7850m),C3(14/05,8300m),Smt(15/05)",2007
"BC(07/04,5200m),ABC(14/04,6300m),C1(16/04,7010m,),C2(27/04,7700m),C3(15/05,8300m),Smt(16-17,19-20/05)",2007
"BC(08/04,5200m),ABC(16/04,6400m),C1(24/04,7000m),C2(17/05,7700m),C3(18/05,8300m),Smt(19-20/05)",2007
"BC(07/04,5200m),ABC(15/04,6400m),C1(28/04,7000m),C3(14/05,8300m),Smt(02,15-16/05)",2007
"BC(22/04,5200m),ABC(26/04,6400m),C1(30/04,7000m),C2(06/05,7500m),C3(17/05,8300m),Smt(18/05)",2007
"BC(05/04,5141m),ABC(09/04,6376m),C1(26/04,7024m),C2(12/05,7511m),C3-Members(13/05,7806m),C3(28/04,7806m),C4(14/05,8250m),Smt(30/04,15,21-22/05,14/06)",2007
"BC(07/05,5141m),ABC(18/05,6376m),C1(25/05,7024m),C2(03/06,7511m),C3(12/06,7800m),C4(13/06,5250m),Smt(14/06)",2007
"BC(10/04,5200m),ABC(19/04,6400m),C1(26/04,7050m),C2(02/05,7600m),C3(14/05,8200m),Smt(08,15,17/05)",2007
"BC(04/04,5200m),ABC(10/04,6450m),C1(18/04,7000m),C2(03/05,7900m),C3(15/05,8300m),Smt(16/05)",2007
"BC(28/03),ABC(02/04,6500m),C1(10/04,7000m),C2(14/05,7700m),C3(15/05,8300m),Smt(16/05)",2007
"BC(14/04,5100m),IC(20/04,5800m),ABC(27/04,6500m),C1(01/05,7028m),C2A(06/05,7500m),C2B(19/05,7900m),C4(20/05,8300m),Smt(21,24/05)",2007
"BC(23,25/03,6400m),ABC(31/03,7100m),C2(30/04,7800m),C3(08/05,8300m),Smt(09/05)",2007
See route note descriptions for individual teams,2007
"BC(5300m),C1(5800m),C2.ABC(6500m),C3(7028m),C4(7990m),C5(8300m),Smt(07-08/05)",2008
"BC(10/04),ABC(18/04,6500m),C1(7028m),C2(7790m),C3(8300m),Smt(15,17-18/05)",2009
"BC(06/05),ABC(12/05,6400m),C1(16/05,7050m),xxx.Batard(18/05,7650m),C2(19/05,7700m),C3(20/05,8300m),xxx.Cina(21/05,8800m),Sherpa.Smt(21/05)",2009
"BC(26/04,5713m),ABC(30/04,6700m),C1(07/05,7000m),C2(19/05,7500m),C3(20/05,8300m),Smt(21/05)",2009
"BC(19/04,5200m),ABC(25/04,6125m),C1(18/05,7100m),C2(19/05,7700m),C3(20/05,8300m),Smt(21/05)",2009
"BC(19/04,5300m),C1(09/05,7000m),C2(15/05,7600m),C3(20/05,8300m),Smt(21/05)",2009
"BC(23/04,5200m),ABC(08/05,6400m),C1(12/05,7100m),C2(20/05,7700m),C3(21/05,8300m),Smt(22/05)",2009
"BC(24/04,5700m),ABC(29/04,6400m),C2(20/05,7700m),C3(21/05,8300m),Smt(22/05)",2009
"BC(20/04,5500m),ABC(27/04,6400m),C1(07/05,7000m),C2(20/05,7700m),C3(21/05,8300m),Smt(22/05)",2009
"BC(17/04),ABC(23/04,6400m),C1(01/05,7000m),C2(18/05,7800m),C3(19/05,8300m),Smt(20/05)",2009
"BC(17/04,5300m),ABC(20/04,6400m),C1(30/04,7100m),C2(16/05,7800m),C3(17/05,8300m),Smt(18/05)",2009
"BC(28/04,5200m),ABC(02/05,6450m),C1(09/05,7000m),C2(16/05,7900m),C3(17/05,8300m),Smt(18/05)",2009
"BC(17/04,5200m),ABC(23/04,6400m),C1(28/04,7050m),C2(04/05,7700m),C3(19/05,8250m),Smt(20-21/05)",2009
"BC(19/04,5300m),ABC(26/04,6400m),C1(27/04,7000m),C2(19/05,7800m),C3(20/05,8300m),Smt(21/05)",2009
"BC(28/04,5200m),ABC(02/05,6400m),C1(07/05,7035m),C2(20/05,7700m),C3(21/05,8300m),Smt(22/05)",2009
"BC(28/04,5200m),ABC(02/05,6450m),C1(09/05,7000m),C2(16/05,7900m),C3(17/05,8300m),Smt(18/05)",2009
Smt(23/05),2010
"BC,ABC(6500m),C1(7028m),C2(7790m),C3(8300m),Smt(05/17)",2010
"BC(12/04,5200m),ABC(17/04,6400m),C1(06/05,7000m),C2(15/05,7600m),Smt(17/05)",2010
"BC(16/04,5200m),ABC(20/04,6400m),C1(22/04,7000m),C2(25/04,7500m),C3(21/05,8300m),Smt(22/05)",2010
"BC(14/04,5200m),ABC(04/18,6400m),C1(22/04,7100m),C2(21/05,7800m),C3(22/05,8300m),Smt(23/05)",2010
Smt(23/05),2010
"BC(12/04,5200m),IC(5800m),ABC(6400m),C1(15/05,7027m),C2(16/05,7790m),C3(17/05,8300m),Smt(18/05)",2010
"BC(09/04,5300m),ABC(14/04,6400m),C1(18/04,7000m),C2(22/04,7500m),C3(23/05,8300m),Smt(24/05)",2010
"BC(09/04,5200m),ABC(14/04,6435m),C1(24/04,7050m),C2(29/04,7600m),C3(23/05,8350m),Smt(24/05)",2010
"BC(13/04,5200m),ABC(19/04,6400m),C1(21/05,7000m),C2(22/05,7800m),C3(23/05,8300m),Smt(24/05)",2010
"BC(08/04,5200m),ABC(15/04,6400m),C1(21/04,7000m),C2(22/04,7500m),C3(23/05,8300m),Smt(24/05)",2010
"BC(09/04,5200m),ABC(14/04,6400m),C1(23/04,7000m),C2(22/05,7700m),C3(23/05,8300m),Smt(24/05)",2010
"BC(13/04,5200m),ABC(19/04,6400m),C1(01/05,7000m),C2(22/05,7800m),C3(23/05,8300m),Smt(24/05)",2010
"BC(24/04,5200m),ABC(02/05,6400m),C1(12/05,7000m),C2(23/05,7700m),C3(24/05,8200m),Smt(25/05)",2010
"BC(08/04,5200m),ABC(12/04,6400m),C1(28/04,7060m),C2(16/05,7650m),C3(17/05,8300m),Smt(18/05)",2010
"BC(16/04,5150m),ABC(22/04,6350m),C1(05/05,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(23/05)",2010
"BC(12/04,5200m),ABC(18/04,6400m),C1(01/05,7200m),C2(22/05,7700m),C3(23/05,8300m),Smt(24/05)",2010
"BC(12/04,5010m),ABC(18/04,5630m),C1(22/04,7000m),C2(22/04,7500m),C3(23/05,8300m),Smt(24/05)",2010
"BC(14/04,5200m),ABC(18/04,6400m),C1(01/05,7200m),C2(21/05,7800m),C3(22/05,8300m),Smt(23/05)",2010
"BC(12/04,5200m),ABC(16/04,6400m),C1(27/04,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(23-24/05)",2010
"BC(14/04,5200m),ABC(19/04,6400m),C1(23/04,7100m),C2(21/05,7700m),C3(22/05,8300m),Smt(23/05)",2010
"BC(24/04,5200m),ABC(29/04,6400m),C1(17/05,7100m),C2(21/05,7700m),C3(22/05,8300m),Smt(23/05)",2010
"BC(07/04),ABC(13/04,6450m),C1(16/04,7060m),C2(27/04,7820m),C3(21/05,8300m),Smt(24/05)",2010
"BC(11/05,5200m),ABC(17/05,6400m),C1(19/05,7000m),C2(22/05,7800m),C3(23/05,8300m),Smt(24/05)",2010
"BC(11/04,5200m),ABC(18/04,6400m),C1(02/05,7000m),C2(21/05,7800m),C3(22/05,8300m),Smt(23/05)",2010
"Smt(20-21,26/05)",2011
"BC,ABC(6400m),C1(7000m),C2(7700m),C3(8300m),Smt(19-20/05)",2011
"BC(19/04),ABC(24/04,6400m),C1(29/04,7000m),C2(10/05,7600m),C3(20/05,8400m),Smt(21/05)",2011
"BC.Sherpas(12/04,5200m),BC.Mbrs(19/04,5200m),ABC(24/04,6400m),C1(01/05,7000m),C2(09/05,7700m),C3(20/05,8300m),Smt(21/05)",2011
Smt(19-20/05),2012
"BC(23/04,5200m),ABC(27/04,6400m),C1(08/05,7000m),C2(17/05,7700m),C3(18/05,8300m),Smt(19/05)",2012
"BC(14/04,5000m),ABC(21/04,6500m),C1(23/04,7000m),C2(7700m),C3(18/05,8300m),Smt(19/05)",2012
"BC(15/04,5000m),ABC(24/04,6400m),C1(08/05,7100m),C2(23/05,7800m),C3(24/05,8300m),Smt(25/05)",2012
"BC(17/04,5000m),ABC(25/04,6400m),C1(04/05,7000m),C2(24/05,7800m),C3(25/05,8300m),Smt(26/05)",2012
"BC(12/04,5200m),ABC(14/04,6400m),C1(19/04,7000m),C2(18/05,7700m),C3(19/05,8300m),Smt(20/05)",2012
"BC(17/04,5100m),IC(20/04,5800m),ABC(25/04,6400m),C1(01/05,7000m),C2(17/05,7700m),C3(18/05,8300m),Smt(20/05)",2012
"BC(23/04,5200m),ABC(27/04,6400m),C1(08/05,7000m),C2(17/05,7700m),C3(18/05,8300m),Smt(19/05)",2012
"BC(13/04,5200m),BC(14/04,5200m),ABC(22/04,6400m),C1(16/05,7050m),C2(17/05,7800m),C3(18/05,8300m),Smt(19/05)",2012
"BC(14/04,5230m),ABC(21/04,6400m),C1(27/04,7050m),C2(18/05,7600m),C3(25/05,8300m),Smt(20,26-27/05)",2012
