campsites,year
"BC(15/04,5100m),ABC(23/04,6400m),C1(29/04,7000m),C2(17/05,7700m),C3(18/05,8300m),Smt(19/05)",2012
"BC(14/04,5200m),ABC(21/04,6400m),C1(02/05,7000m),C2(17/05,7700m),C3(24/05,8300m),Smt(25/05)",2012
"BC(23/04,5200m),ABC(27/04,6400m),C1(08/05,7000m),C2(17/05,7700m),C3(18/05,8300m),Smt(19/05)",2012
"BC(25/04,5100m),ABC(28/04,6400m),C1(05/05,7000m),C2(23/05,7600m),C3(24/05,8200m),Smt(25/05)",2012
"BC(12/04,5200m),ABC(14/04,6400m),C1(12/05,7000m),C2,C3,Smt(20/05)",2012
"BC(13/04,5100m),ABC(20/04,6400m),C1(01/05,7100m),C2(23/05,7800m),C3(24/05,8300m),Smt(25/05)",2012
"BC,ABC,C1,C2,C3,Smt(20/05)",2012
"BC,ABC,C1,C2,C3,Smt(20/05)",2012
Smt(19/05),2012
Smt(19/05),2012
"BC(17/04),ABC(6400m),C1(7000m),C2(17/05,7775m),C3(18/05,8300m),Smt(19/05)",2012
"BC(15/04,5100m),ABC(19/04,6400m),C1(04/05,7000m),C2(17/05,7700m),C3(18/05,8300m),Smt(19-20/05)",2013
"BC(13/05,5100m),ABC(14/05,6492m),C1(15/05,7000m),C2(17/05,7700m),C3(18/05,8300m),Smt(19/05)",2013
"Smt(10,17/05)",2013
"BC(13/04,5250m),ABC(20/04,6400m),C1(04/05,7000m),C2(20/05,7700m),C3(21/05,8300m),Smt(22/05)",2013
"BC(15/04,5200m),ABC(20/04,6400m),C1(01/05,7000m),C2(05/05,7800m),C3(24/05,8300m),Smt(25/05)",2013
"BC(19/04,5200m),ABC(20/04,6400m),C1(01/05,7000m),C2(17/05,7700m),C3(18/05,8300m),Smt(19/05)",2013
"BC(14/04,5600m),ABC(19/04,6400m),C1(05/05,7000m),C2(13/05,7800m),C3(15/05,8300m),Smt(15/05)",2013
"BC(19/04,5200m),ABC(24/04,6400m),C1(14/05,7000m),C2(18/05,7600m),C3(19/05,8250m),Smt(20/05)",2013
"BC(19/04,5200m),ABC(22/04,6500m),C1(28/04,7200m),C2(12/05,7600m),C3(20/05,8300m),Smt(20/05)",2013
"BC(14/04,5200m),ABC(22/04,6400m),C1(13/05,7050m),C2(20/05,7700m),C3(21/05,8300m),Smt(22/05)",2013
"BC(16/04,5200m),ABC(21/04,6400m),C1(22/04,7000m),C2(19/05,7700m),C3(20/05,8300m),Smt(21/05)",2013
"BC(15/04,5200m),ABC(22/04,6400m),C1(04/05,7000m),C2(15/05,7800m),C3(21/05,8300m),Smt(22-23/05)",2013
"BC(19/04,5200m),IC(22/04,6200m),ABC(29/04,6400m),C1(04/05,7000m),C2(17/05,7700m),C3(18/05,8300m),Smt(19-20/05)",2013
"BC(05/04),Smt(18/05)",2013
"BC(12/04,5200m),ABC(17/04,6400m),C1(19/04,7000m),C2(21/05,7900m),C3(22/05,8300m),Smt(24-25/05)",2014
"BC,ABC(6400m),C1(7000m),C2(7900m),C3(8400m),Smt(23,25/05)",2014
"BC(15/04,5300m),ABC(20/04,6400m),C1(27/04,7000m),C2(23/05,7800m),C3(24/05,8300m),Smt(25/05)",2014
"BC(15/04,5300m),ABC(21/04,6400m),C1(25/04,7000m),C2(23/05,7800m),C3(24/05,8300m),Smt(25/05)",2014
"BC(15/04,5300m),IC(23/04,5900m),ABC(24/04,6400m),C1(01/05,7100m),C2(23/05,7800m),C3(24/05,8300m),Smt(25/05)",2014
"BC(14/04,5200m),ABC(21/04,6400m),C1(04/05,7050m),C2(23/05,7800m),C3(24/05,8300m),Smt(25/05)",2014
"CBC(16/04,5300m),IC(20/04,5800m),ABC(21/04,6400m),C1(06/05,7150m),C2(22/05,7700m),C3(23/05,8300m),Smt(24-25/05)",2014
"BC(14/04,5150m),ABC(21/04,6400m),C1(07/05,7000m),C2(23/05,7600m),C3(21/05,8400m),Smt(25/05)",2014
"BC(17/04,5100m),IC(20/04,5800m),ABC(28/04,6400m),C1(01/05,7000m),C2(22/05,7700m),C3(23/05,8300m),Smt(24-25/05)",2014
"BC(16/04,5100m),ABC(20/04,6400m),C1(27/04,7100m),C2(23/05,7800m),C3(24/05,8300m),Smt(25/05)",2014
"BC(17/04,5200m),ABC(25/04,6300m),C1(29/04,7000m),C2(19/05,7800m),
       C3(20/05,8300m),Smt(21/05)",2016
"BC,ABC(6500m),C1(7028m),C2(7790m),C3(8300m),Smt(19-20/05)",2016
"BC(21/04,4900m),ABC(28/04,6400m),C1(08/05,7000m),C2(21/05,7800m),C3(22/05,8300m),Smt(23-24/05)",2016
"BC(17/04,4900m),ABC(24/04,6400m),C1(27/04,7000m),C2(21/05,7800m),C3(22/05,8300m),Smt(23/05)",2016
"BC(19/04,5200m),IC(22/04,5800m),ABC(28/04,6400m),C1(04/05,7000m),C2(18/05,7700m),C3(19/05,8300m),Smt(20-21/05)",2016
"BC(28/04,5150m),ABC(01/05,6300m),C1(05/05,7000m),C2(10/05,7600m),C3(22/05,8300m),Smt(23/05)",2016
"BC(24/04,5200m),ABC(28/04,6400m),C1(04/05,7000m),C2(10/05,7700m),C3(23/05,8300m),Smt(24/04)",2016
"BC(24/04,5200m),ABC(29/04,6400m),C1(10/05,7000m),C2(20/05,7700m),C3(21/05,8300m),Smt(22/04)",2016
"BC(25/04,5000m),ABC(01/05,6400m),C1(07/05,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(23/05)",2016
"BC(21/04,4900m),ABC(27/04,6400m),C1(17/05,7000m),C2(18/05,7800m),C3(19/05,8300m),Smt(20/05)",2016
"BC(17/04,4900m),ABC(25/04,6400m),C1(29/04,7000m),C2(17/05,7800m),C3(18/05,8300m),Smt(19/05)",2016
"BC(17/04,5200m),ABC(25/04,6400m),C1(30/04,7000m),C2(08/05,7800m),C3(22/05,8200m),Smt(23/05)",2016
"BC(17/04,4900m),ABC(22/04,6400m),C1(24/04,7000m),C2(19/05,7800m),C3(20/05,8300m),Smt(21/05)",2016
"BC(18/04,4900m),IC(22/04,5750m),ABC(01/05,6400m),C1(05/05,7000m),C2(22/05,7800m),C3(23/05,8200m),Smt(24/05)",2016
"BC(11/05,4900m),IC(15/05,5750m),ABC(16/05,6400m),C1(18/05,7000m),C3(19/05,8200m),Smt(20/05)",2016
"BC(16/05,4900m),IC(18/05,5750m),ABC(20/05,7400m),C2(21/05,7800m),C3(22/05,8200m),Smt(23/05)",2016
"BC(25/04,4900m),ABC(30/04,6400m),C1(05/05,7000m),C2(19/05,7800m),C3(20/05,8200m),Smt(21/05)",2016
"BC(19/04,4900m),ABC(28/04,6400m),C1(03/05,7000m),C2(18/05,7800m),C3(19/05,8200m),Smt(20/05)",2016
"BC(19/04,4900m),ABC(28/04,6400m),C1(03/05,7000m),C2(18/05,7800m),C3(19/05,8200m),Smt(20/05)",2016
"BC(20/04,5200m),ABC(26/04,6400m),C1(30/04,7000m),C2(14/05,7800m),C3(21/05,8300m),Smt(22/05)",2016
"BC,ABC,C1,C2,C3,Smt(22/05)",2016
"BC(18/04,5200m),ABC(23/04,6400m),C1(27/04,7000m),C2(18/05,7800m),C3(19/05,8200m),Smt(20/05)",2016
"BC(20/04,4900m),ABC(26/04,6400m),C1(29/04,7000m),C2(21/05,7800m),C3(22/05,8300m),Smt(23/05)",2016
"BC(10/05,5200m),ABC(16/05,6400m),C1(18/05,7000m),C2(19/05,7800m),C3(20/05,8300m),Smt(21/05)",2016
"BC(20/04,5200m,IC(27/04,5900m)ABC(28/04,6400m),C1(03/05,7100m),C2(18/05,7700m),C3(19/05,8300m),Smt(20/05)",2016
"BC(19/04,5200m),IC(21/04),ABC(22/04,6400m),C1(06/04,7000m),C2(20/05,7500m),C3(21/05,8300m),Smt(22/05)",2016
"BC,ABC,C1,C2,C3,Smt(11/05)",2017
"BC(18/04,5200m),IC(27/04,5700m),ABC(26/04,6400m),C1(30/04,7100m),C2(11/05,7900m),C3(12/05,8300m),Smt(13,16,22/05)",2017
"BC(27/04,5100m),IC(30/04,5800m),ABC(01/05,6400m),C1(05/05,7000m),C2(20/05,7800m),C3(21/05,8300m),Smt(13,19,20,22/05)",2017
"BC(18/04,4900m),ABC(25/04,6400m),C1()02/05,7000m,C2(19/05,7650m),C3(20/05,8200m),Smt(21/05)",2017
"BC(15/04,4900m),ABC(20/04,6400m),C1(03/05,7000m),C2(20/05,7850m),C3(21/05,8200m),Smt(22,27/05)",2017
"BC(16/04,4900m),ABC(25/04,6400m),C1(29/04,7050m),C2(25/05,7650m),C3(26/05,8200m),Smt(27/05)",2017
"BC(17/04,4900m),ABC(26/04,6400m),C1(04/05,7000m),C2(14/05,7650m),C3(15/05,8200m),Smt(16/05)",2017
"BC(14/04,5200m),ABC(18/04,6400m),C1(05/05,7000m),C2(14/05,7650m),C3(15/05,8200m),Smt(16/05)",2017
"BC(13/04,4900m),ABC(19/04,6400m),C1(30/04,7000m),C2(19/05,7650m),C3(20/05,8200m),Smt(21/05)",2017
"BC(18/04,5200m),ABC(24/04,6400m),C1(29/04,7000m),C2(14/05,7700m),C3(26/05,8300m),Smt(27/05)",2017
"BC(20/04,5180m),IC(25/04,5800m),ABC(26/04,6400m),C1(30/04,7100m),C2(17/05,7800m),C3(19/05,8300m),Smt(20/05)",2017
"BC(14/04,4900m),ABC(20/04,6400m),C1(27/04,7000m),C2(20/05,7650m),C3(21/05,8200m),Smt(22/05)",2017
"BC(18/04,4900m),ABC(29/04,6400m),C1(03,18/05,7000m),C2(19/05,7650m),C3(20/05,8200m),Smt(21-22/05)",2017
"BC(12/04,5200m),ABC(15/04,6400m),C1(25/04,7000m),C2(14/05,7650m),C3(15/05,8300m),Smt(16/05)",2017
"BC(07/04,5200m),ABC(12/04,6400m),C1(18/04,7000m),C2(20/05,7800m),C3(21/05,8300m),Smt(22/05)",2017
"BC(16/04,4900m),ABC(23/04,6400m),C1(03/05,7000m),C2(14/05,7650m),C3(15/05,8200m),Smt(16/05)",2017
"BC(16/04,4900m),ABC(23/04,6400m),C1(27/04,7000m),C2(30/04,7650m),C3(15/05,8200m),Smt(16/05)",2017
"BC(17/04,5150m),ABC(28/04,6400m),C1(03/05,7050m),C2(25/05,7700m),C3(26/05,8300m),Smt(27/05)",2017
"BC(10/05,4900m),ABC(12/05,6400m),Smt(21,27/05)",2017
"BC(17/04,5100m),ABC(24/04,6400m),C1(27/04,7100m),C2(19/05,7700m),C3(20/05,8300m),Smt(21/05)",2017
Smt(21/05),2017
"BC,ABC,C1,C2,C3,Smt(23/05)",2017
"BC(17/04,5300m),ABC(23/04,6400m),C1(02/05,7000m),C2(17/05,7700m),C3(18/05,8200m),Smt(19/05)",2018
"BC(22-25/04,5100m),IC(28/04,5800m),ABC(01/05,6400m),C1(05/05,7000m),C2(07/05,7900m),C3(15/05,8300m),Smt(16-19/05)",2018
"CBC(18/04,4900m),ABC(24/04,6400m),C1(30/04,7050m),C2(18/05,7900m),C3(19/05,8200m),Smt(20/05)",2018
"CBC(16/04,4900m),ABC(21/04,6400m),C1(04/05,7000m),C2(17/05,7850m),C3(18/05,8300m),Smt(19/05)",2018
"BC(16/04,4900m),ABC(26/04,6400m),C1(01/05,7000m),C2(13/05,7650m),C3(14/05,8200m),Smt(15/05)",2018
"BC(09/05,5200m),ABC(10/05,6400m),C1(14/05,7000m),C2(15/05,7700m),Smt(20/05)",2018
"CBC(18/04,4900m),ABC(27/04,6400m),C1(01/05,7050m),C2(15/05,7650m),C3(16/05,8200m),Smt(17/05)",2018
"CBC(14/04,4900m),ABC(22/04,6400m),C1(03/05,7050m),C2(14/05,7800m),C3(15/05,8250m),Smt(16,21/05)",2018
"CBC(28/04,4900m),ABC(05/05,6400m),C1(09/05,7000m),C2(20/05,7800m),C3(21/05,8300m),Smt(21-22/05)",2018
"CBC(17/04,4900m),ABC(24/04,6400m),C1(01/05,7050m),C2(16/05,7650m),C3(17/05,8200m),Smt(18/05)",2018
"BC(17/04,5100m),IC(22/04,5750m),ABC(27/04,6400m),C1(01/05,7050m),C2(14/05,7650m),C3(15/05,8200m),Smt(16/05)",2018
"BC(16/04,4900m),ABC(23/04,6400m),C1(29/04,7050m),C2(13/05,7650m),C3(14/05,8200m),Smt(15/05)",2018
"BC(20/04,4900m),ABC(22/04,6400m),C1(11/05,7050m),C2(12/05,7650m),C3(13/05,8200m),Smt(14/05)",2018
"BC(18/04,4900m),ABC(23/04,6400m),C1(28/04,7050m),C3(15/05,8200m),Smt(15,20/05)",2018
"CBC(17/04,4900m),ABC(24/04,6400m),C1(06/05,7050m),C2(16/05,7650m),C3(17/05,8200m),Smt(18/05)",2018
"BC(18/04,5300m),ABC(24/04,6400m),C1(14/05,7050m),C2,C3(8300m),Smt(18-19/05",2018
"BC(13/04,5200m),ABC(20/04,6500m),C1(30/04,7028m),C2(14/05,7790m),C3(15/05,8300m),Smt(16/05)",2018
"BC(09/04,5200m),ABC(24/04,6500m),C1(27/04,7028m),C2(13/05,7790m),C3(14/05,8300m),Smt(15/05)",2018
"BC(19/04,5000m),IC(26/04,6100m),ABC(27/04,6400m),C1(30/04,7100m),C2(14/05,7900m),C3(15/05,8300m),Smt(16-17/05)",2018
"BC,ABC,C1,C2,C3,Smt(14/05)",2018
"BC(21/04,5700m),ABC(28/94,6400m),C1(10/05,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(23/05)",2019
"BC(24/05,5180m),ABC(03/05,6490m),C1(20/05,7000m),C2(21/08),C3(23/08),Smt(24/19)",2019
"BC(18/04,5700m),ABC(23/05,6400m),C1(30/04,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(22/05)",2019
"BC(15/04),ABC(26/04,6400m),C1(01/05,7000m),C2(21/05),C3(22/05,8300m),Smt(23/05)",2019
"BC(16/04,5700m),ABC(25/04,6400m),C1(01/05,7000m),C2(22/05,7700m),C3(23/05,8300m),Smt(24/05)",2019
"BC(29/04,5700m),ABC(02/05,6400m),C1(20/05,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(23/05)",2019
"BC(18/04,5000m),IC(25/04),ABC(26/06,6400m),C1(30/04,7000m),C2(21/05,7900m),C3(22/05,8300m),Smt(23/05)",2019
"BC(15/04,5700m),ABC(21/04,6400m),C1(29/04,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(23-24/05)",2019
"BC(17/04,5200m),ABC(24/04,6400m),C1(20/05,7000m),C2(21/05,7600m),C3(22/05,8300m),Smt(23/05)",2019
"BC(15/04,5200m),ABC(22/04,6500m),C1(10/05,7000m),C2(22/06,7600m),C3(23/05,8300m),Smt(23-24/05)",2019
"BC(08/04,5700m),ABC(13/04,6400m),C1(28/04,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(23/05)",2019
"BC(17/04,5700m),ABC(25/04,6400m),C1(05/05,7000m),C2(21/05,7700m),C3(8300m),Smt(23/05)",2019
"BC(20/04,5100m),IC(23/04,5800m),ABC(02/05,6400m),C1(03/05,7000m),C2(21/05,7900m),C3(22/05,8300m),Smt(23-24/05)",2019
"BC(16/04,5700m),ABC(29/04,6400m),C1(01/05,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(23/05)",2019
"BC(18/04,7500m),ABC(24/04,6400m),C1(02/05,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(23/05)",2019
"BC(18/04,5700m),ABC(01/05,6400m),C1(02/05,7000m),C2(26/05,7000m),C3(27/05,8300m),Smt(28/05)",2019
"BC(23/04,5700m),ABC(30/04,6400m),C1(04/05,7000m),C2(28/05,7650m),C3(29/05,8300m),Smt(30/05)",2019
"BC(15/04,5150m),ABC(26/04,6400m),C1(30/04,7050m),C2(21/05,7600m),C3(22/05,8200m),Smt(23/05)",2019
"BC(16/04,5700m),ABC(25/04,6400m),C1(02/05,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(23/05)",2019
"BC(15/04,5700m),ABC(20/04,6400m),C1(30/04,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(23/05)",2019
"BC(08/04,5700m),ABC(13/04,6400m),C1(28/04,7000m),C2(21/05,7700m),C3(22/05,8300m),Smt(23/05)",2019
"BC,ABC(6400m),C1(7028m),C2(7790m),C3(8300m),Smt(22/05)",2019
"BC,ABC(6400m),C1(7028m),C2(7790m),C3(8300m),Smt(23/05)",2019
"BC(26/03),ABC(01/04,6500m),C1(08/04,7028m),C2(21/04,7790m),C3(04/05,8300m),Smt(08/05)",1994
"BC(04/07,5100m),ABC(14/07,6500m),Biv1(18/08,7800m),Biv2(19/08,8200m),Smt(20/08),Biv3(20/08,8200m)",1980
"BC(13/03,5150m),C119/03,5500m),C2(20/03,6100m),ABC(21/03,6500m),C4(30/03,7000m),C5(21/04,7600m),C6(07/05,8300m),Smt(15,17,21,24/05)",1991
"BC(30/04),ABC(03/05,6500m),C1(13/05,7000m),C2(14/05,7800m),C3(26/05,8200m),Smt(27/05)",1991
"BC(16/03),C1(21/03,5650m),C2(24/03,6100m),C3(28/03,6500m),C4(02/04,7000m),C5(05/05,7800m),C6(18/05,8300m),Smt(19,25-26,31/05)",1994
"BC(05/04,5200m),C1(5700m),C2(5800m),C3.ABC(10/04,6400m),C4(19/04,7040m),C5(03/05,7850m),C6(09/05,8320m),Smt(10,17/05)",1996
"ChineseBC(07/04,5200m),ABC(11/04,6450),C1(20/04,7060),C2(15/05,7800m),C3(16/05,8300m),Smt(17-18/05)",1996
"ChineseBC(10/04,5200m),ABC(17/04,6400m),C1(27/04,7000m),C2(16/05,7800m),C3(18/05,8300m),Smt(19/05)",1996
"ChineseBC(13/04),ABC(15/04,6300m),C4(01/05,7000m),C5(15/05,7800m),C6(16/05,8300m),Smt(17,21/05)",1996
"ChineseBC(17/04,5200m),ABC(20/04,6470m),C1(27/04,7000m),C2(08/05,7800m),C3(09/05,8250m),Smt(24/05)",1996
"ChineseBC(17/05,5200m),ABC(19/05,6400m),C1(23/05,7000m),Smt(24/05)",1996
"BC(20/08),ABC(26/08,6400m),C1(09/09,7000m),C2(22/09,7900m),C3(25/09,8200m),Smt(26/09)",1996
"BC(07/04,5200m),ABC(6450m),C1(7060m),C2(27/05,7680m),C3(28/05,8300m),Smt(29/05)",1997
"BC(02/07,5150m),ABC(08-09/07,6500m),C4(31/07,7100m),C5(06/08,7750m),C6(11/08,8450m),Smt(28/08)",1985
"BC(20/08,5150m),C1,C2,C3.ABC(6400m),C4(15/09,7000m),C5A(20/09,7590m),C5B(17/10,7560m),C6(18/10,8100m),Smt(20/10)",1984
"BC(22/08,5300m),C1(26/08,6050m),C2(27/08,6500m),C3(02/09,7010m),C4(18/09,7900m),C5(05/10,8300m),Smt(06/10)",1993
"BC(30/08,5200m),ABC(08/09,6400m),C1(11/09,7000m),C2A(18/09,7800m),C2B(7900m),C3(08/10,8100m),Smt(09-10/10)",1993
"BC(29/03,5180m),IC1(5575m),IC2(6100m),ABC(03/04,6490m),C1(17/04,7000m),C2(30/04,7800m),C3(16/05,8150m),Smt(17/05)",1999
"BC(08/04),ABC(12/04,6400m),C1(19/04,7000m),C2(15/05,7800m),C3(16/05,8300m),Smt(17/05)",2002
"BC(12/04),ABC(15/04,6700m),C1(05/05,7000m),C2(15/05,7700m),C3(16/05,8320m),Smt(17/05)",2002
"BC(16/04),ABC(24/04,6400m),C1(07/05,7050m),C2(16/05,7800m),C3(17/05,8300m),Smt(18,25/05)",2002
"BC(13/05),ABC(14/05,6400m),C1(16/05,7000m),C2(22/05,7700m),C3(23/05,8200m),Smt(24/05)",2002
"BC(11/04),ABC(15/04,6400m),C1(06/05,7000m),C2(14/05,7400m),C3(16/05,7800m),C4.Russian(29/05,8300m),Smt(30/05)",2002
"BC(08/04),ABC(15/04,6400m),C1(20/04,7000m),C2(15/05,7700m),C3(16/05,8300m),Smt(17/05)",2002
"BC(08/04,5200m),ABC(14/04,6400m),C1(01/05,7000m),C2(10/05,7500m),C3(16/05,7900m),C4(16/05,8300m),Smt(17,25/05)",2002
"BC(13/04,5200m),ABC(18/04,6400m),C1(22/04,7000m),C2(13/05,7500m),C3(14/05,7800m),C4(15/05,8300m),Smt(16/05)",2002
"BC(05/04),ABC(11/04,6400m),C1(18/04,7000m),C2(14/05,7700m),C3(15/05,8200m),Smt(16/05)",2002
"BC(14/04),ABC(19/04,6400m),C1(26/04,7000m),C2(09/05,7700m),C3(24/05,8300m),Smt(25/05)",2002
"BC(16/04),ABC(17/04,6400m),C1(14/05,7000m),C2(15/05,7900m),C3(16/05,8300m),Smt(17/05)",2002
"BC(09/04),ABC(16/04,6400m),C1(28/04,7000m),C2(21/05,7640m),C3(29/05,8200m),Smt(30/05)",2003
"BC(18/04),ABC(24/04,6300m),C1(28/04,7000m),C2(24/05,7800m),C3(25/05,8300m),Smt(26/05)",2003
"BC(10/04,5200m),ABC(19/04,6400m),C1(25/04,7000m),C1.5(30/04,4500m),C2(20/05,7650m),C3(22/05,8300m),Smt(31/05)",2003
"BC(07/04,5300m),ABC(16/04,6400m),C1(25/04,7000m),C2(26/04,7500m),C3(17/05,7900m),C4(18/05,8300m),Smt(22,31/05)",2003
"BC(07/04,5300m),ABC(16/04,6400m),C1(25/04,7000m),C2(26/04,7500m),C3(17/05,7900m),C4(18/05,8300m),Smt(30/05)",2003
"BC(10/04,5100m),ABC(15/04,6780m),C1(17/04,7000m),C2(27/04,7500m),C3(21/05,7900m),C4(21/05,8300m),Smt(26,29/05)",2003
"BC(10/04,5000m),ABC(14/04,6300m),C1(19/04,7000m),C2(19/05,7800m),C3(20/05,8300m),Smt(21-22/05)",2003
"BC(13/04,5200m),ABC(18/04,6400m),C1(25/04,7000m),C2(30/04,7700m),C3(23/05,8300m),Smt(24-25/05)",2004
"BC(17/04,5200m),ABC(21/04,6500m),C1(22/04,7050m),C2(23/04,7900m),C3(16/05,8300m),Smt(22,24-25/05)",2004
